Partij,Jaar,Zetels
PPR,1983,1
PPR,1984,1
PPR,1985,1
PPR,1986,2
PPR,1987,1
PPR,1988,1
PPR,1989,1
PPR,1990,1
PPR,1991,0
PPR,1992,0
PPR,1993,0
PPR,1994,0
PPR,1995,0
PPR,1996,0
PPR,1997,0
PPR,1998,0
PPR,1999,0
PPR,2000,0
PPR,2001,0
PPR,2002,0
PPR,2003,0
PPR,2004,0
PPR,2005,0
PPR,2006,0
PPR,2007,0
PPR,2008,0
PPR,2009,0
PPR,2010,0
PPR,2011,0
PPR,2012,0
PPR,2013,0
PPR,2014,0
PPR,2015,0
PPR,2016,0
PPR,2017,0
PPR,2018,0
PPR,2019,0
PPR,2020,0
PPR,2021,0
PPR,2022,0
PPR,2023,0
PPR,2024,0
PPR,2025,0
PSP,1956,0
PSP,1957,0
PSP,1958,0
PSP,1959,0
PSP,1960,0
PSP,1961,0
PSP,1962,0
PSP,1963,2
PSP,1964,2
PSP,1965,2
PSP,1966,3
PSP,1967,3
PSP,1968,3
PSP,1969,3
PSP,1970,3
PSP,1971,1
PSP,1972,1
PSP,1973,1
PSP,1974,0
PSP,1975,0
PSP,1976,0
PSP,1977,1
PSP,1978,1
PSP,1979,1
PSP,1980,1
PSP,1981,0
PSP,1982,0
PSP,1983,2
PSP,1984,2
PSP,1985,2
PSP,1986,2
PSP,1987,1
PSP,1988,1
PSP,1989,1
PSP,1990,1
PSP,1991,0
PSP,1992,0
PSP,1993,0
PSP,1994,0
PSP,1995,0
PSP,1996,0
PSP,1997,0
PSP,1998,0
PSP,1999,0
PSP,2000,0
PSP,2001,0
PSP,2002,0
PSP,2003,0
PSP,2004,0
PSP,2005,0
PSP,2006,0
PSP,2007,0
PSP,2008,0
PSP,2009,0
PSP,2010,0
PSP,2011,0
PSP,2012,0
PSP,2013,0
PSP,2014,0
PSP,2015,0
PSP,2016,0
PSP,2017,0
PSP,2018,0
PSP,2019,0
PSP,2020,0
PSP,2021,0
PSP,2022,0
PSP,2023,0
PSP,2024,0
PSP,2025,0
CDA,1956,0
CDA,1957,0
CDA,1958,0
CDA,1959,0
CDA,1960,0
CDA,1961,0
CDA,1962,0
CDA,1963,0
CDA,1964,0
CDA,1965,0
CDA,1966,0
CDA,1967,0
CDA,1968,0
CDA,1969,0
CDA,1970,0
CDA,1971,0
CDA,1972,0
CDA,1973,0
CDA,1974,0
CDA,1975,0
CDA,1976,0
CDA,1977,24
CDA,1978,24
CDA,1979,24
CDA,1980,27
CDA,1981,28
CDA,1982,28
CDA,1983,26
CDA,1984,26
CDA,1985,26
CDA,1986,26
CDA,1987,26
CDA,1988,26
CDA,1989,26
CDA,1990,26
CDA,1991,27
CDA,1992,27
CDA,1993,27
CDA,1994,27
CDA,1995,19
CDA,1996,19
CDA,1997,19
CDA,1998,19
CDA,1999,20
CDA,2000,20
CDA,2001,20
CDA,2002,20
CDA,2003,23
CDA,2004,23
CDA,2005,23
CDA,2006,23
CDA,2007,21
CDA,2008,21
CDA,2009,21
CDA,2010,21
CDA,2011,11
CDA,2012,11
CDA,2013,11
CDA,2014,11
CDA,2015,12
CDA,2016,12
CDA,2017,12
CDA,2018,12
CDA,2019,9
CDA,2020,9
CDA,2021,9
CDA,2022,9
CDA,2023,6
CDA,2024,6
CDA,2025,6
NSB,1956,0
NSB,1957,0
NSB,1958,0
NSB,1959,0
NSB,1960,0
NSB,1961,0
NSB,1962,0
NSB,1963,0
NSB,1964,0
NSB,1965,0
NSB,1966,0
NSB,1967,0
NSB,1968,0
NSB,1969,0
NSB,1970,0
NSB,1971,0
NSB,1972,0
NSB,1973,0
NSB,1974,0
NSB,1975,0
NSB,1976,0
NSB,1977,0
NSB,1978,0
NSB,1979,0
NSB,1980,0
NSB,1981,0
NSB,1982,0
NSB,1983,0
NSB,1984,0
NSB,1985,0
NSB,1986,0
NSB,1987,0
NSB,1988,0
NSB,1989,0
NSB,1990,0
NSB,1991,0
NSB,1992,0
NSB,1993,0
NSB,1994,0
NSB,1995,0
NSB,1996,0
NSB,1997,0
NSB,1998,0
NSB,1999,0
NSB,2000,0
NSB,2001,0
NSB,2002,0
NSB,2003,0
NSB,2004,0
NSB,2005,0
NSB,2006,0
NSB,2007,0
NSB,2008,0
NSB,2009,0
NSB,2010,0
NSB,2011,0
NSB,2012,0
NSB,2013,0
NSB,2014,0
NSB,2015,0
NSB,2016,0
NSB,2017,0
NSB,2018,0
NSB,2019,0
NSB,2020,0
NSB,2021,0
NSB,2022,0
NSB,2023,0
NSB,2024,0
NSB,2025,0
VVD,1956,4
VVD,1957,4
VVD,1958,4
VVD,1959,4
VVD,1960,8
VVD,1961,8
VVD,1962,8
VVD,1963,7
VVD,1964,7
VVD,1965,7
VVD,1966,8
VVD,1967,8
VVD,1968,8
VVD,1969,8
VVD,1970,8
VVD,1971,8
VVD,1972,8
VVD,1973,8
VVD,1974,12
VVD,1975,12
VVD,1976,12
VVD,1977,15
VVD,1978,15
VVD,1979,15
VVD,1980,13
VVD,1981,12
VVD,1982,12
VVD,1983,17
VVD,1984,17
VVD,1985,17
VVD,1986,16
VVD,1987,12
VVD,1988,12
VVD,1989,12
VVD,1990,12
VVD,1991,12
VVD,1992,12
VVD,1993,12
VVD,1994,12
VVD,1995,23
VVD,1996,23
VVD,1997,23
VVD,1998,23
VVD,1999,19
VVD,2000,19
VVD,2001,19
VVD,2002,19
VVD,2003,15
VVD,2004,15
VVD,2005,15
VVD,2006,15
VVD,2007,14
VVD,2008,14
VVD,2009,14
VVD,2010,14
VVD,2011,16
VVD,2012,16
VVD,2013,16
VVD,2014,16
VVD,2015,13
VVD,2016,13
VVD,2017,13
VVD,2018,13
VVD,2019,12
VVD,2020,12
VVD,2021,12
VVD,2022,12
VVD,2023,10
VVD,2024,10
VVD,2025,10
CPN,1956,1
CPN,1957,1
CPN,1958,1
CPN,1959,1
CPN,1960,2
CPN,1961,2
CPN,1962,2
CPN,1963,1
CPN,1964,1
CPN,1965,1
CPN,1966,1
CPN,1967,1
CPN,1968,1
CPN,1969,1
CPN,1970,1
CPN,1971,3
CPN,1972,3
CPN,1973,3
CPN,1974,4
CPN,1975,4
CPN,1976,4
CPN,1977,2
CPN,1978,2
CPN,1979,2
CPN,1980,1
CPN,1981,1
CPN,1982,1
CPN,1983,2
CPN,1984,2
CPN,1985,2
CPN,1986,2
CPN,1987,1
CPN,1988,1
CPN,1989,1
CPN,1990,1
CPN,1991,0
CPN,1992,0
CPN,1993,0
CPN,1994,0
CPN,1995,0
CPN,1996,0
CPN,1997,0
CPN,1998,0
CPN,1999,0
CPN,2000,0
CPN,2001,0
CPN,2002,0
CPN,2003,0
CPN,2004,0
CPN,2005,0
CPN,2006,0
CPN,2007,0
CPN,2008,0
CPN,2009,0
CPN,2010,0
CPN,2011,0
CPN,2012,0
CPN,2013,0
CPN,2014,0
CPN,2015,0
CPN,2016,0
CPN,2017,0
CPN,2018,0
CPN,2019,0
CPN,2020,0
CPN,2021,0
CPN,2022,0
CPN,2023,0
CPN,2024,0
CPN,2025,0
Vrijheidsbond,1956,0
Vrijheidsbond,1957,0
Vrijheidsbond,1958,0
Vrijheidsbond,1959,0
Vrijheidsbond,1960,0
Vrijheidsbond,1961,0
Vrijheidsbond,1962,0
Vrijheidsbond,1963,0
Vrijheidsbond,1964,0
Vrijheidsbond,1965,0
Vrijheidsbond,1966,0
Vrijheidsbond,1967,0
Vrijheidsbond,1968,0
Vrijheidsbond,1969,0
Vrijheidsbond,1970,0
Vrijheidsbond,1971,0
Vrijheidsbond,1972,0
Vrijheidsbond,1973,0
Vrijheidsbond,1974,0
Vrijheidsbond,1975,0
Vrijheidsbond,1976,0
Vrijheidsbond,1977,0
Vrijheidsbond,1978,0
Vrijheidsbond,1979,0
Vrijheidsbond,1980,0
Vrijheidsbond,1981,0
Vrijheidsbond,1982,0
Vrijheidsbond,1983,0
Vrijheidsbond,1984,0
Vrijheidsbond,1985,0
Vrijheidsbond,1986,0
Vrijheidsbond,1987,0
Vrijheidsbond,1988,0
Vrijheidsbond,1989,0
Vrijheidsbond,1990,0
Vrijheidsbond,1991,0
Vrijheidsbond,1992,0
Vrijheidsbond,1993,0
Vrijheidsbond,1994,0
Vrijheidsbond,1995,0
Vrijheidsbond,1996,0
Vrijheidsbond,1997,0
Vrijheidsbond,1998,0
Vrijheidsbond,1999,0
Vrijheidsbond,2000,0
Vrijheidsbond,2001,0
Vrijheidsbond,2002,0
