Partij,Jaar,Zetels
LU,1888,32
LU,1889,32
LU,1890,32
LU,1891,32
LU,1892,32
LU,1893,32
LU,1894,32
LU,1895,32
LU,1896,27
LU,1897,27
LU,1898,27
LU,1899,24
LU,1900,24
LU,1901,24
LU,1902,18
LU,1903,18
LU,1904,12
LU,1905,12
LU,1906,12
LU,1907,13
LU,1908,13
LU,1909,13
LU,1910,15
LU,1911,15
LU,1912,15
LU,1913,16
LU,1914,16
LU,1915,16
LU,1916,15
LU,1917,14
LU,1918,14
LU,1919,13
LU,1920,13
LU,1921,13
LU,1922,0
LU,1923,0
LU,1924,0
LU,1925,0
LU,1926,0
LU,1927,0
LU,1928,0
LU,1929,0
LU,1930,0
LU,1931,0
LU,1932,0
LU,1933,0
LU,1934,0
LU,1935,0
LU,1936,0
LU,1937,0
LU,1938,0
LU,1939,0
LU,1940,0
LU,1941,0
LU,1942,0
LU,1943,0
LU,1944,0
LU,1945,0
LU,1946,0
LU,1947,0
LU,1948,0
LU,1949,0
LU,1950,0
LU,1951,0
LU,1952,0
LU,1953,0
LU,1954,0
LU,1955,0
LU,1956,0
SDAP,1888,0
SDAP,1889,0
SDAP,1890,0
SDAP,1891,0
SDAP,1892,0
SDAP,1893,0
SDAP,1894,0
SDAP,1895,0
SDAP,1896,0
SDAP,1897,0
SDAP,1898,0
SDAP,1899,0
SDAP,1900,0
SDAP,1901,0
SDAP,1902,0
SDAP,1903,0
SDAP,1904,0
SDAP,1905,0
SDAP,1906,0
SDAP,1907,0
SDAP,1908,0
SDAP,1909,0
SDAP,1910,0
SDAP,1911,0
SDAP,1912,0
SDAP,1913,1
SDAP,1914,1
SDAP,1915,1
SDAP,1916,2
SDAP,1917,2
SDAP,1918,2
SDAP,1919,4
SDAP,1920,4
SDAP,1921,4
SDAP,1922,3
SDAP,1923,11
SDAP,1924,11
SDAP,1925,11
SDAP,1926,11
SDAP,1927,11
SDAP,1928,11
SDAP,1929,11
SDAP,1930,11
SDAP,1931,11
SDAP,1932,11
SDAP,1933,11
SDAP,1934,11
SDAP,1935,11
SDAP,1936,11
SDAP,1937,12
SDAP,1938,12
SDAP,1939,12
SDAP,1940,12
SDAP,1941,12
SDAP,1942,12
SDAP,1943,12
SDAP,1944,12
SDAP,1945,12
SDAP,1946,0
SDAP,1947,0
SDAP,1948,0
SDAP,1949,0
SDAP,1950,0
SDAP,1951,0
SDAP,1952,0
SDAP,1953,0
SDAP,1954,0
SDAP,1955,0
SDAP,1956,0
VDB,1888,0
VDB,1889,0
VDB,1890,0
VDB,1891,0
VDB,1892,0
VDB,1893,0
VDB,1894,0
VDB,1895,0
VDB,1896,0
VDB,1897,0
VDB,1898,0
VDB,1899,0
VDB,1900,0
VDB,1901,0
VDB,1902,0
VDB,1903,0
VDB,1904,0
VDB,1905,0
VDB,1906,0
VDB,1907,0
VDB,1908,0
VDB,1909,0
VDB,1910,0
VDB,1911,0
VDB,1912,0
VDB,1913,2
VDB,1914,2
VDB,1915,2
VDB,1916,2
