Kabinet,Foto,Minister-president,Partijen,Zetelverdeling,Verkiezing,Aantreden,Demissionair,Aftreden,Dagen
Den Uyl,,Joop den Uyl (PvdA),"PvdA, KVP, ARP, PPR, D'66",,1972,11 mei 1973,22 maart 1977,19 december 1977,1683
Van Agt I,,Dries van Agt (CDA),"CDA, VVD",,1977,19 december 1977,26 mei 1981,11 september 1981,1362
Van Agt II,,Dries van Agt (CDA),"CDA, PvdA, D'66",,1981,11 september 1981,12 mei 1982,29 mei 1982,260
Van Agt III,,Dries van Agt (CDA),"CDA, D'66",,,29 mei 1982,8 september 1982,4 november 1982,159
Lubbers I,,Ruud Lubbers (CDA),"CDA, VVD",,1982,4 november 1982,22 mei 1986,14 juli 1986,1348
Lubbers II,,Ruud Lubbers (CDA),"CDA, VVD",,1986,14 juli 1986,3 mei 1989,7 november 1989,1212
Lubbers III,,Ruud Lubbers (CDA),"CDA, PvdA",,1989,7 november 1989,10 mei 1994,22 augustus 1994,1749
Kok I,,Wim Kok (PvdA),"PvdA, VVD, D66",,1994,22 augustus 1994,6 mei 1998,3 augustus 1998,1442
Kok II,,Wim Kok (PvdA),"PvdA, VVD, D66",,1998,3 augustus 1998,16 april 2002,22 juli 2002,1449
Balkenende I,,Jan Peter Balkenende (CDA),"CDA, LPF, VVD",,2002,22 juli 2002,16 oktober 2002,27 mei 2003,309
Balkenende II,,Jan Peter Balkenende (CDA),"CDA, VVD, D66",,2003,27 mei 2003,30 juni 2006,7 juli 2006,1137
Balkenende III,,Jan Peter Balkenende (CDA),"CDA, VVD",,,7 juli 2006,21 november 2006,22 februari 2007,230
Balkenende IV,,Jan Peter Balkenende (CDA),"CDA, PvdA, ChristenUnie",,2006,22 februari 2007,20 februari 2010,14 oktober 2010,1330
Rutte I,,Mark Rutte (VVD),"VVD, CDA (gedoogd door PVV)",,2010,14 oktober 2010,23 april 2012,5 november 2012,753
Rutte II,,Mark Rutte (VVD),"VVD, PvdA",,2012,5 november 2012,14 maart 2017,26 oktober 2017,1816
Rutte III,,Mark Rutte (VVD),"VVD, CDA, D66, ChristenUnie",,2017,26 oktober 2017,15 januari 2021,10 januari 2022,1537
Rutte IV,,Mark Rutte (VVD),"VVD, D66, CDA, ChristenUnie",,2021,10 januari 2022,7 juli 2023,2 juli 2024,904
Schoof,,Dick Schoof (partijloos),"PVV, VVD, NSC, BBB",,2023,2 juli 2024,,,251
